thread_id,tweet_id,author_id,inbound,created_at,text,turn_index,clean_text,is_triage
1000164,1000164,356790,True,2017-10-22T17:14:40Z,"This is after @AmazonHelp package was supposedly out for delivery this morning, then resent this afternoon. What am I paying for Prime for?!",0,"This is after package was supposedly out for delivery this morning, then resent this afternoon. What am I paying for Prime for?!",False
1000164,1000163,AmazonHelp,False,2017-10-22T17:19:00Z,"@356790 I'm sorry to hear we've let you down, Sophia! Here's some tips that should help recover the parcel: https://t.co/PbHxXoLZzy ^CS",1,"I'm sorry to hear we've let you down, Sophia! Here's some tips that should help recover the parcel.",False
1002581,1002581,118356,True,2017-10-14T12:07:58Z,@AmazonHelp @115850 https://t.co/UUe7A6dAFL,0,,False
1002581,1002579,AmazonHelp,False,2017-10-14T12:54:00Z,@118356 Oh that's strange. I’d like to look into this. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^RI,1,Oh that's strange. I’d like to look into this. Please fill this form and I’ll contact you soon.,True
1002581,1002580,118356,True,2017-10-14T13:55:12Z,@AmazonHelp I have filled that form...Hoping to hear from ur side!,2,I have filled that form...Hoping to hear from ur side!,False
1002581,1002582,AmazonHelp,False,2017-10-14T14:11:26Z,@118356 We've received your details and our team will reach out to you soon. Appreciate your cooperation. ^MA,3,We've received your details and our team will reach out to you soon. Appreciate your cooperation.,True
1002581,1002583,118356,True,2017-10-14T14:13:43Z,@AmazonHelp I appreciate your prompt reply!,4,I appreciate your prompt reply!,False
1002581,1002584,AmazonHelp,False,2017-10-14T14:30:00Z,@118356 Always happy to help. ^CB,5,Always happy to help.,False
1002581,1002586,118356,True,2017-10-15T11:07:25Z,@AmazonHelp It's last day tomorrow for delivery yet order not shipped..Your agents keep telling wait till last date!! What's gonna happen in 1 day! 1/2,6,It's last day tomorrow for delivery yet order not shipped..Your agents keep telling wait till last date!! What's gonna happen in 1 day! 1/2.,False
1002581,1002585,118356,True,2017-10-15T11:07:41Z,@AmazonHelp I need a resolution from your side today itself!,7,I need a resolution from your side today itself!,False
1002637,1002637,357325,True,2017-10-14T12:46:02Z,"Protection Level : Ultimate
@115850 air cushions should not deflate while in transit. Kinda negates the purpose. 😛 https://t.co/tghimv1MTc",0,Protection Level: Ultimate air cushions should not deflate while in transit. Kinda negates the purpose. 😛.,False
1002637,1002636,AmazonHelp,False,2017-10-14T12:51:00Z,@357325 Sorry about the packaging of the order. Kindly provide us the packaging feedback here: https://t.co/pvXmYircic ^AK,1,Sorry about the packaging of the order. Kindly provide us the packaging feedback here.,False
1002892,1002892,185185,True,2017-10-22T14:43:57Z,@115821 @115850 In-spite of being a prime number why do I need to pay for delivery in Pune for this item? https://t.co/h905tlBPvD,0,In-spite of being a prime number why do I need to pay for delivery in Pune for this item?,False
1002892,1002890,AmazonHelp,False,2017-10-22T15:09:29Z,@185185 Sorry to know this. Delivery charges vary by seller. You can check here: https://t.co/UCTZrHJf7I for more info. ^VN,1,Sorry to know this. Delivery charges vary by seller. You can check here for more info.,False
1002892,1002891,185185,True,2017-10-22T15:15:36Z,"@AmazonHelp I do not understand. I'm not asking for express delivery, it is a normal delivery per the seller!",2,"I do not understand. I'm not asking for express delivery, it is a normal delivery per the seller!",False
1002892,1002893,AmazonHelp,False,2017-10-22T15:36:31Z,"@185185 For more information regarding the delivery charges, I request you to contact our support team here: https://t.co/2t6DQoUmNZ ^PR",3,"For more information regarding the delivery charges, I request you to contact our support team here.",True
1002916,1002916,357396,True,2017-10-22T14:42:25Z,#amazonprimevideo is seriously upping the game! Good to see a lot of new desi movie releases &amp; english tv series! #hookedon @119625,0,#amazonprimevideo is seriously upping the game! Good to see a lot of new desi movie releases &amp; english tv series! #hookedon.,False
1002916,1002914,AmazonHelp,False,2017-10-22T15:01:35Z,@357396 Up is the only way we go. Please stay tuned as we add more content. ^VN,1,Up is the only way we go. Please stay tuned as we add more content.,False
1002916,1002915,357396,True,2017-10-22T23:02:59Z,@AmazonHelp Awesome! I’m waiting!!,2,Awesome! I’m waiting!!,False
1002916,1002917,AmazonHelp,False,2017-10-22T23:19:00Z,"@357396 Stay tuned, there is more to come :) ^SQ",3,"Stay tuned, there is more to come:).",False
1004596,1004596,357781,True,2017-11-25T17:06:52Z,"15-20% of my @117795 packages have shipping issues. started when they moved to contractors. Are rethinking the value of this service. I'm getting a refund for a package that just vanished, and a package yesterday showed up 24 hrs after it was claimed to be delivered",0,"15-20% of my packages have shipping issues. started when they moved to contractors. Are rethinking the value of this service. I'm getting a refund for a package that just vanished, and a package yesterday showed up 24 hrs after it was claimed to be delivered.",False
1004596,1004595,AmazonHelp,False,2017-11-25T17:13:32Z,"@357781 We'd like to look into this further for you. When you have a moment, please provide us with your details here: https://t.co/8LTTG7akB5 ^AC",1,"We'd like to look into this further for you. When you have a moment, please provide us with your details here.",True
1005134,1005134,357901,True,2017-10-14T12:47:28Z,"@115851 Hello! My husband purchased a camera for my son on @115821 and we were charged twice for it. We called last night and the charge went from pending to processed... twice. How can we fix this, please? Thanks!",0,"Hello! My husband purchased a camera for my son on and we were charged twice for it. We called last night and the charge went from pending to processed... twice. How can we fix this, please? Thanks!",False
1005134,1005132,AmazonHelp,False,2017-10-14T13:18:37Z,@357901 Hi. What was advised when in touch? Can you see only one order placed on your account? Are the charges identical?^TP,1,Hi. What was advised when in touch? Can you see only one order placed on your account? Are the charges identical?,False
1005134,1005133,357902,True,2017-10-14T14:24:06Z,@AmazonHelp @357901 Hello. Yes. It was a single order &amp; the two charges were identical. The bank said Amazon's credit was reversed &amp; now I have two charges.,2,Hello. Yes. It was a single order &amp; the two charges were identical. The bank said Amazon's credit was reversed &amp; now I have two charges.,False
1005134,1005135,AmazonHelp,False,2017-10-14T15:08:00Z,@357902 I'd like a member of our team to review these transactions. Please provide your details here: https://t.co/WjVHhvLkWQ ^KP,3,I'd like a member of our team to review these transactions. Please provide your details here.,True
1005134,1005136,357902,True,2017-10-14T16:51:19Z,@AmazonHelp Ok. Thank you. I appreciate the help.,4,Ok. Thank you. I appreciate the help.,False
1005964,1005964,358094,True,2017-10-22T19:25:58Z,@AmazonHelp hi i tried to change my login twice and now I can not log in at all. what can I do? I have no access to my account.,0,hi i tried to change my login twice and now I can not log in at all. what can I do? I have no access to my account.,False
1005964,1005963,AmazonHelp,False,2017-10-22T19:44:01Z,@358094 I'm sorry to hear you can't login to your account! Please reach us directly so we can assist: https://t.co/w9rrynbliI ^BV,1,I'm sorry to hear you can't login to your account! Please reach us directly so we can assist.,True
1005966,1005966,358095,True,2017-10-22T19:31:46Z,sh*t seller support Amazon!! Even a billion dollar company is cheap AF for not taking responsibility in case of damage to product @115850,0,sh*t seller support Amazon!! Even a billion dollar company is cheap AF for not taking responsibility in case of damage to product.,False
1005966,1005965,AmazonHelp,False,2017-10-22T19:44:00Z,@358095 Looks like you are upset with our services and I'm sorry about it. Kindly elaborate for us to help you better. ^MP,1,Looks like you are upset with our services and I'm sorry about it. Kindly elaborate for us to help you better.,False
1006025,1006025,358102,True,2017-10-22T19:05:46Z,"While I love @115821 Prime, having the shoes you bought your dad after his clothes and house burned in NorCal 1984’d off my order history 😤",0,"While I love Prime, having the shoes you bought your dad after his clothes and house burned in NorCal 1984’d off my order history 😤.",False
1006025,1006024,358102,True,2017-10-22T19:06:45Z,"@115821 There’s no “Hey, sorry we stealthily canceled your order without notifying you, then pretended it didn’t exist so you can’t complain” button",1,"There’s no “Hey, sorry we stealthily canceled your order without notifying you, then pretended it didn’t exist so you can’t complain” button.",False
1006025,1006023,AmazonHelp,False,2017-10-22T19:22:00Z,"@358102 Sorry to hear that Devon! Look for any recent emails regarding that order, check Spam folders as well and keep us posted. ^CH",2,"Sorry to hear that Devon! Look for any recent emails regarding that order, check Spam folders as well and keep us posted.",False
1006025,1006022,358102,True,2017-10-22T19:23:25Z,@AmazonHelp Checked all mail folders and notifications. It was simply removed silently from an active order with no mention.,3,Checked all mail folders and notifications. It was simply removed silently from an active order with no mention.,False
1006025,1006021,358102,True,2017-10-22T19:24:34Z,"@AmazonHelp The other item delivered w/ that order number was delivered, and the rest of the order still appears, with an adjusted invoice.",4,"The other item delivered w/ that order number was delivered, and the rest of the order still appears, with an adjusted invoice.",False
1006025,1006020,AmazonHelp,False,2017-10-22T19:41:42Z,"@358102 That is odd, we would like to look into this in real time.  Please contact us by phone or chat:  https://t.co/hApLpMlfHN ^CH",5,"That is odd, we would like to look into this in real time. Please contact us by phone or chat.",True
1006028,1006028,358103,True,2017-10-22T19:36:05Z,What the hell @115821? The phone case/wallet I bought from you fell apart literally the day it arrived. https://t.co/UYqJ8773IS,0,What the hell? The phone case/wallet I bought from you fell apart literally the day it arrived.,False
1006028,1006026,AmazonHelp,False,2017-10-22T19:37:50Z,@358103 I'm sorry for the issues with your item. Please check return/replacement options here: https://t.co/Whqe0Tgtec ^AN,1,I'm sorry for the issues with your item. Please check return/replacement options here.,False
1006028,1006027,358103,True,2017-10-22T19:59:09Z,@AmazonHelp It spent a long time in a PO box I couldn't get to so the return window is already closed. Any chance of an exception? https://t.co/BxeTojZuaG,2,It spent a long time in a PO box I couldn't get to so the return window is already closed. Any chance of an exception?,False
1006028,1006029,AmazonHelp,False,2017-10-22T20:11:32Z,@358103 We'll be able to look into our available options if you contact us here: https://t.co/JzP7hlA23B We are open 24/7! ^AR,3,We'll be able to look into our available options if you contact us here We are open 24/7!,True
1006607,1006607,357902,True,2017-10-14T13:07:32Z,"Ok. Now that I wasted 45 minutes of filming to because of @115821 system glitches and making me broke, time to start filming.....",0,"Ok. Now that I wasted 45 minutes of filming to because of system glitches and making me broke, time to start filming.....",False
1006607,1006605,AmazonHelp,False,2017-10-14T13:39:01Z,@357902 What issues are you having? ^KM,1,What issues are you having?,False
1006607,1006606,357902,True,2017-10-14T14:26:22Z,@AmazonHelp I'm already replying to another thread but thank you! I'll delete this. Was just frustrated.,2,I'm already replying to another thread but thank you! I'll delete this. Was just frustrated.,False
1007012,1007012,358298,True,2017-10-17T23:34:33Z,"Spoil me  😘 😘
💋Jade Luv's Wishlist
 https://t.co/nDpo5NWiqE via @115821",0,Spoil me 😘 😘 💋Jade Luv's Wishlist via.,False
1007012,1007011,358299,True,2017-10-19T02:38:20Z,"@358298 @115821 Got you some insta film for your camera, hope you enjoy it beautiful! 😄",1,"Got you some insta film for your camera, hope you enjoy it beautiful! 😄.",False
1007012,1007010,358298,True,2017-10-22T08:00:32Z,@358299 @115821 Thanks Luv 😘 I can’t wait to take some sexy Polaroid pics 🤗,2,Thanks Luv 😘 I can’t wait to take some sexy Polaroid pics 🤗.,False
1007012,1007009,358299,True,2017-10-22T13:26:31Z,@358298 @115821 Happy to give to hopefully put a smile on your face! Have a nice week! 😊,3,Happy to give to hopefully put a smile on your face! Have a nice week! 😊.,False
1007012,1007008,358298,True,2017-10-22T19:39:11Z,@358299 @115821 I just received the Polaroid paper...and I just figured that it’s the wrong kind of paper for my camera 😭😭😭 How can I return it?,4,I just received the Polaroid paper...and I just figured that it’s the wrong kind of paper for my camera 😭😭😭 How can I return it?,False
1007012,1007007,AmazonHelp,False,2017-10-22T19:57:24Z,"@358298 For details on setting up a gift return, please click here: https://t.co/1DfbeDIpf6 ^AD",5,"For details on setting up a gift return, please click here.",False
1007015,1007015,171648,True,2017-10-22T19:37:08Z,@AmazonHelp I recommend to never buy from Amazon they sell Pure Duplicate Product.,0,I recommend to never buy from Amazon they sell Pure Duplicate Product.,False
