thread_id,customer_message,reference_reply,suggested_intent,suggested_route,true_intent,true_route,route_reason
580597,"Yes!!!! The replacement still had no outer packaging, label straight on the box and the box is dama…","Apologies, can you send us a link to the item on the website please?",delivery_issue,auto_handle,delivery_issue,auto_handle,"Damaged packaging, routine damage report"
255074,I have been unable to activate the call function on my Amazon Alexa App. It won't accept my UK mobi…,Do you receive an error message when you try?,account_technical,auto_handle,account_technical,auto_handle,App feature not accepting phone number
1027505,the amount of packaging for the clothes basked to the left is beyond belief! Total waste and filled…,You can leave our shipping department your packaging feedback by using this link.,other,auto_handle,other,auto_handle,"Packaging waste feedback, not a specific complaint"
1117737,Does Amazon offer discount for hosting/cloud services for Prime Member?,"Hi there, here's a list of all the benefits you receive as a Prime member.",order_inquiry,auto_handle,order_inquiry,auto_handle,Informational question about Prime benefit
9788,please teach Alexa slang. I've been trying to play Momentz by gorillaz for the last 30 minutes.,We are always looking for ways to improve! You can provide your feedback to our developers here.,order_inquiry,auto_handle,other,auto_handle,"Feature request/suggestion, not really a timing/capability question"
2437720,Had some issues with my order and your online returns system has been down for hours. Can someone p…,Sorry for the troubles! We're unable to view your account via Twitter. Please reach us here.,account_technical,auto_handle,account_technical,auto_handle,Returns website system down
1271549,"So, which numpty teaches their delivery drivers to leave parcels out in the rain? Delivery instruct…",I'm sorry the parcels were damaged by the rain. We're unable to access account info via Twitter. We…,delivery_issue,auto_handle,delivery_issue,auto_handle,Packages damaged by rain in transit
2622489,Whats the email for complaints? You've royally stuffed me over today:(.,I am very sorry to hear this Mikey. So I can assist you better can I ask for you to give us details…,other,auto_handle,other,auto_handle,"Vague complaint, no specifics given"
2403990,I was charged $128.85 from prime and don't know what it's for or how to contact you about it? I was…,"I'm sorry for the concern this has caused, Neale! You can view the current status of your Prime mem…",billing_dispute,escalate,billing_dispute,escalate,"Unclear/duplicate Prime charges, financial risk"
2873351,Just spent $60 on Christmas movies from. 🎄🎁📺🍿 #noregrets.,What's the difference between the Christmas alphabet and the normal alphabet? The Christmas alphabe…,other,auto_handle,other,auto_handle,"Celebratory tweet, not a support issue"
2784514,is about to lose a customer with this Prime mixup. 2 day delivery means 2 days... i shouldnt be won…,Hi! I'm sorry for all of this frustration. Could you please explain a little more about what is hap…,delivery_issue,auto_handle,delivery_issue,auto_handle,"Late Prime delivery, common pattern"
457693,Done. Thank you so much!,Thanks for letting us know! I've confirmed we received your information!,other,auto_handle,other,auto_handle,Thank-you acknowledgment
1224582,"Amazon are shit these days! Got 5 random items out for delivery, from over 4 days ago! What is goin…","Oh my! Just to clarify, have you been able to speak with us via phone/chat about these deliveries?",delivery_issue,auto_handle,delivery_issue,auto_handle,Multiple items delayed
206968,It would be much appreciated if I got my battlefront 2 beta as I was supposed to get it today for p…,I'm sorry for the wait. We'd like to look at this with you. Please call us here.,delivery_issue,auto_handle,other,auto_handle,"Digital pre-order timing gripe, not a physical package delivery"
2317462,Done.,Thanks for sharing your feedback. We'll have your feedback forwarded internally so that they are aw…,other,auto_handle,other,auto_handle,Packaging feedback forwarded
527088,"""YOU'VE RUINED CHRISTMAS!"".","Hi there, I am sorry to hear that. Without going into personal account info can you please tell us…",other,escalate,other,auto_handle,Vague complaint; generic clarifying question is adequate
2641352,"more lies from ""delivery"" people, ORDER # 202-3470297-3474743 Claim ""can't deliver"" but to a hotel…",I'm sorry for the frustration! We want to get this resolved! Please reach out here for assistance.,delivery_issue,auto_handle,delivery_issue,auto_handle,Delivery attempt dispute
320019,Please complete your investigation within 3 days so it can be feasible for me. I will be very thank…,"I get your concern, we'll get back to you at the earliest. Appreciate your patience.",delivery_issue,auto_handle,other,auto_handle,Underlying issue unclear from available context
387142,have already responded back to your email and the response which I have received didn't try to solv…,We'll only be able to create a replacement if the item is in stock with the seller. If the item isn…,other,auto_handle,other,auto_handle,"Ambiguous ongoing issue, no clear category"
